title,agency,bureau,spend
"Procurement, Construction, and Improvements, FEMA               ",Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,20 
FDA Innovation Account,Department of Health and Human Services                         ,Food and Drug Administration,20 
Other assisted housing programs,Department of Housing and Urban Development                     ,Housing Programs,20 
Commodity assistance program,Department of Agriculture                                       ,Food and Nutrition Service,20 
"Capitol Police Buildings, Grounds, and Security                 ",Legislative Branch                                              ,Architect of the Capitol,20 
Permanent operating funds,Department of the Interior                                      ,Bureau of Land Management,21 
College housing and academic facilities loans program account,Department of Education                                         ,Office of Postsecondary Education,21 
Payment Where Health Coverage Tax Credit Exceeds Liability for T,Department of the Treasury                                      ,Internal Revenue Service,21 
Premiums paid to UMWA combined benefits fund,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,21 
Assets forfeiture fund,Department of Justice                                           ,Legal Activities and U.S. Marshals,21 
Miscellaneous items,Legislative Branch                                              ,Senate,21 
Capitol visitor center,Legislative Branch                                              ,Architect of the Capitol,21 
Contribution to the Inter-American Development Bank,International Assistance Programs                               ,Multilateral Assistance,22 
"Operations and maintenance, JFK Center for the Performing Arts",Smithsonian Institution                                         ,Smithsonian Institution                                         ,22 
"General fund payment, Armed Forces Retirement Home              ",Other Defense Civil Programs                                    ,Armed Forces Retirement Home,22 
Federal support for economic development and management reforms,District of Columbia                                            ,District of Columbia General and Special Payments               ,22 
Salaries and expenses,Other Defense Civil Programs                                    ,Selective Service System,23 
Global Agriculture and Food Security Program                    ,International Assistance Programs                               ,Multilateral Assistance,23 
Inter-American Foundation,International Assistance Programs                               ,Inter-American Foundation,23 
"Copyright Office, Salaries and Expenses                         ",Legislative Branch                                              ,Library of Congress,23 
Salaries and Expenses                                           ,National Railroad Passenger Corporation Office of Inspector Gene,National Railroad Passenger Corporation Office of Inspector Gene,23 
Operational Expenses                                            ,Department of Transportation                                    ,Pipeline and Hazardous Materials Safety Administration          ,23 
Rural Energy for America Program                                ,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,23 
"Repair, restoration, and renovation of buildings, National Galle",Smithsonian Institution                                         ,Smithsonian Institution                                         ,23 
Pregnancy Assistance Fund                                       ,Department of Health and Human Services                         ,Departmental Management,23 
Dual Benefits Payments Account                                  ,Railroad Retirement Board                                       ,Railroad Retirement Board                                       ,23 
Miscellaneous trust funds,Department of the Interior                                      ,Bureau of Land Management,24 
Office of Civil Rights                                          ,Department of Agriculture                                       ,Office of Civil Rights,24 
Policy Development and Research                                 ,Department of Housing and Urban Development                     ,Management and Administration,24 
"General post fund, national homes",Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,24 
Extension activities,Department of Agriculture                                       ,National Institute of Food and Agriculture                      ,25 
Federal-state partnership for state of good repair grants,Department of Transportation                                    ,Federal Railroad Administration,25 
Miscellaneous trust funds,Department of Transportation                                    ,Federal Highway Administration,25 
Delta Regional Authority                                        ,Delta Regional Authority                                        ,Delta Regional Authority                                        ,25 
American Printing House for the Blind,Department of Education                                         ,Office of Special Education and Rehabilitative Services,25 
Vaccine Injury Compensation Program Trust Fund                  ,Department of Health and Human Services                         ,Health Resources and Services Administration,25 
Foreign Service national separation liability trust fund,Department of State                                             ,Administration of Foreign Affairs,25 
Salaries and expenses,Office of Special Counsel                                       ,Office of Special Counsel                                       ,25 
Miscellaneous contributed funds,Department of Agriculture                                       ,Agricultural Research Service,26 
Emergency preparedness grants,Department of Transportation                                    ,Pipeline and Hazardous Materials Safety Administration          ,26 
Salaries and expenses,Federal Labor Relations Authority                               ,Federal Labor Relations Authority                               ,26 
Salaries and expenses,Federal Maritime Commission                                     ,Federal Maritime Commission                                     ,27 
Rural cooperative development grants,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,27 
"Procurement, Construction, and Improvements, ICE                ",Department of Homeland Security                                 ,U.S. Immigration and Customs Enforcement                        ,27 
"Compensation of members, Senate",Legislative Branch                                              ,Senate,27 
Information Technology Oversight and Reform                     ,Executive Office of the President                               ,Unanticipated Needs,27 
Agriculture Wool Apparel Manufacturers Trust Fund               ,Department of Agriculture                                       ,Farm Service Agency,28 
HHS accrual contribution to the uniformed services retiree healt,Department of Health and Human Services                         ,Program Support Center,28 
Salaries and expenses,Judicial Branch                                                 ,Federal Judicial Center,28 
Assistance to territories,Department of the Interior                                      ,Insular Affairs,28 
Presidential election campaign fund,Department of the Treasury                                      ,Departmental Offices,28 
"Construction, IBWC",Department of State                                             ,International Commissions,29 
Current Surveys and Programs                                    ,Department of Commerce                                          ,Bureau of the Census,29 
Program management,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,29 
Railroad social security equivalent benefit account,Railroad Retirement Board                                       ,Railroad Retirement Board                                       ,29 
Other DOD trust funds,Department of Defense--Military Programs                        ,Trust Funds,30 
African Development Foundation,International Assistance Programs                               ,African Development Foundation,30 
Contributions to the International Fund for Agricultural Develop,International Assistance Programs                               ,Multilateral Assistance,30 
International affairs technical assistance program,International Assistance Programs                               ,Multilateral Assistance,30 
Complex Crises Fund                                             ,Department of State                                             ,Other,30 
Protection of foreign missions and officials,Department of State                                             ,Administration of Foreign Affairs,30 
Water Infrastructure Finance And Innovation Program Account     ,Environmental Protection Agency                                 ,Environmental Protection Agency,30 
Aging and Disability Services Programs                          ,Department of Health and Human Services                         ,Administration for Community Living                             ,30 
Mutual and self-help housing grants,Department of Agriculture                                       ,Rural Housing Service,30 
Office of Inspector General                                     ,Social Security Administration                                  ,Social Security Administration,30 
Salaries and expenses,Judicial Branch                                                 ,United States Court of Appeals for the Federal Circuit,30 
"Office of Superintendent of Documents, Salaries and Expenses    ",Legislative Branch                                              ,Government Publishing Office                                    ,30 
Salaries and Expenses                                           ,Defense Nuclear Facilities Safety Board                         ,Defense Nuclear Facilities Safety Board                         ,31 
Land acquisition,Department of the Interior                                      ,Bureau of Land Management,31 
"Operations, research, and facilities",Department of Commerce                                          ,National Oceanic and Atmospheric Administration,31 
Tribal trust fund,Department of the Interior                                      ,Office of the Special Trustee for American Indians              ,31 
Salaries and Expenses                                           ,United States Court of Appeals for Veterans Claims              ,United States Court of Appeals for Veterans Claims              ,31 
Justice information sharing technology                          ,Department of Justice                                           ,General Administration,31 
Payment to the American Institute in Taiwan,Department of State                                             ,Administration of Foreign Affairs,32 
Salaries and expenses,Department of Commerce                                          ,National Telecommunications and Information Administration,32 
Abandoned mine reclamation fund,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,32 
Judicial survivors' annuities fund,Judicial Branch                                                 ,Judicial Retirement Funds,32 
Rural housing assistance grants,Department of Agriculture                                       ,Rural Housing Service,32 
"Procurement, Construction, and Improvements, OUSM               ",Department of Homeland Security                                 ,Office of the Under Secretary for Management                    ,32 
Terrorism insurance program,Department of the Treasury                                      ,Departmental Offices,33 
Capitol building                                                ,Legislative Branch                                              ,Architect of the Capitol,33 
Buildings and facilities,Environmental Protection Agency                                 ,Environmental Protection Agency,34 
Marketing services,Department of Agriculture                                       ,Agricultural Marketing Service,34 
Minority business development,Department of Commerce                                          ,Minority Business Development Agency,34 
Ship disposal,Department of Transportation                                    ,Maritime Administration,34 
Payment to the Postal Service Fund                              ,Postal Service                                                  ,Postal Service                                                  ,35 
Federal payment for emergency planning and security cost in the,District of Columbia                                            ,District of Columbia General and Special Payments               ,35 
Operations and administration,Department of Commerce                                          ,Bureau of Industry and Security,36 
California Bay-Delta restoration,Department of the Interior                                      ,Bureau of Reclamation,36 
Integrated activities,Department of Agriculture                                       ,National Institute of Food and Agriculture                      ,36 
Office of the Inspector General                                 ,Federal Deposit Insurance Corporation                           ,FDIC Office of Inspector General                                ,36 
Salaries and Expenses                                           ,Surface Transportation Board                                    ,Surface Transportation Board                                    ,36 
Operations and maintenance,Department of Transportation                                    ,Saint Lawrence Seaway Development Corporation,36 
"Research, development, test, and evaluation",Department of Homeland Security                                 ,United States Coast Guard,36 
Informant payments,Department of the Treasury                                      ,Internal Revenue Service,36 
Lease of Department of Defense real property,Department of Defense--Military Programs                        ,Operation and Maintenance,37 
Office of Inspector General,Department of the Treasury                                      ,Departmental Offices,37 
United States Institute of Peace                                ,United States Institute of Peace                                ,United States Institute of Peace                                ,38 
Office of Inspector General,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,38 
North American wetlands conservation fund,Department of the Interior                                      ,United States Fish and Wildlife Service,38 
International fisheries commissions,Department of State                                             ,International Commissions,38 
Salaries and Expenses                                           ,Department of Labor                                             ,Office of Labor Management Standards                            ,38 
Office of Disability Employment Policy,Department of Labor                                             ,Departmental Management,38 
Office of the Inspector General,Department of Commerce                                          ,Departmental Management,39 
Salaries and expenses,Department of Commerce                                          ,Economic Development Administration,39 
Office for Civil Rights,Department of Health and Human Services                         ,Departmental Management,39 
Railroad research and development,Department of Transportation                                    ,Federal Railroad Administration,40 
Federal payment for resident tuition support,District of Columbia                                            ,District of Columbia General and Special Payments               ,40 
Fees of jurors and commissioners,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",40 
"Salaries and expenses, Antitrust Division",Department of Justice                                           ,Legal Activities and U.S. Marshals,40 
Payment to Issuer of New Clean Renewable Energy Bonds           ,Department of the Treasury                                      ,Internal Revenue Service,41 
United States Enrichment Corporation Fund                       ,United States Enrichment Corporation Fund                       ,United States Enrichment Corporation Fund                       ,41 
Payment to Issuer of Qualified Energy Conservation Bonds        ,Department of the Treasury                                      ,Internal Revenue Service,41 
Office of Inspector General                                     ,Environmental Protection Agency                                 ,Environmental Protection Agency,41 
Special Inspector General for the Troubled Asset Relief Program ,Department of the Treasury                                      ,Departmental Offices,41 
Continued Dumping and Subsidy Offset                            ,Department of the Treasury                                      ,Fiscal Service                                                  ,41 
Rural Community Facilities Program Account                      ,Department of Agriculture                                       ,Rural Housing Service,41 
Armed Forces Retirement Home Trust Fund                         ,Other Defense Civil Programs                                    ,Armed Forces Retirement Home,42 
Multifamily housing revitalization program account              ,Department of Agriculture                                       ,Rural Housing Service,42 
Federal Payment to the District of Columbia Public Defender Serv,Public Defender Service for the District of Columbia            ,Public Defender Service for the District of Columbia            ,42 
Salaries and expenses,Department of Agriculture                                       ,"Grain Inspection, Packers and Stockyards Administration",43 
"Military construction, Navy Reserve                             ",Department of Defense--Military Programs                        ,Military Construction,44 
Foreign national employees separation pay,Department of Defense--Military Programs                        ,Trust Funds,44 
Overseas Private Investment Corporation noncredit account,International Assistance Programs                               ,Overseas Private Investment Corporation,44 
H&L Fraud Prevention and Detection Fee                          ,Department of State                                             ,Administration of Foreign Affairs,44 
Office of the Inspector General,Department of Energy                                            ,Departmental Administration,44 
H-1 B and L Fraud Prevention and Detection                      ,Department of Labor                                             ,Wage and Hour Division                                          ,44 
Indian land and water claim settlements and miscellaneous paymen,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,45 
Federal payment for school improvement,District of Columbia                                            ,District of Columbia General and Special Payments               ,45 
Veterans employment and training,Department of Labor                                             ,Departmental Management,45 
Grants for Construction of Veterans Cemeteries                  ,Department of Veterans Affairs                                  ,Departmental Administration,45 
"Capital Construction, Dwight D. Eisenhower Memorial Commission  ",Legislative Branch                                              ,Legislative Branch Boards and Commissions,45 
Salaries and Expenses                                           ,Merit Systems Protection Board                                  ,Merit Systems Protection Board                                  ,45 
Trust fund share of expenses,Department of Homeland Security                                 ,United States Coast Guard,46 
"Federal Assistance, DNDO                                        ",Department of Homeland Security                                 ,Domestic Nuclear Detection Office                               ,46 
"Operations and Support, FEMA                                    ",Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,47 
Salaries and expenses,Federal Mediation and Conciliation Service                      ,Federal Mediation and Conciliation Service                      ,47 
"Government payment for annuitants, employee life insurance",Office of Personnel Management                                  ,Office of Personnel Management,47 
Library buildings and grounds,Legislative Branch                                              ,Architect of the Capitol,47 
Salaries and expenses,Legislative Branch                                              ,Congressional Budget Office,47 
Salaries and Expenses                                           ,Executive Office of the President                               ,Office of the United States Trade Representative,47 
"Salaries and expenses, IBWC",Department of State                                             ,International Commissions,48 
Child nutrition programs,Department of Agriculture                                       ,Food and Nutrition Service,48 
Cybersecurity Enhancement Account                               ,Department of the Treasury                                      ,Departmental Offices,48 
Office of the General Counsel,Department of Agriculture                                       ,Office of the General Counsel,49 
"Distance learning, telemedicine, and broadband program",Department of Agriculture                                       ,Rural Utilities Service,49 
Payment to Issuer of Qualified Zone Academy Bonds               ,Department of the Treasury                                      ,Internal Revenue Service,49 
Electronic System for Travel Authorization (ESTA)               ,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,49 
CDC-Wide Activities and Program Support                         ,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,50 
United States emergency refugee and migration assistance fund,Department of State                                             ,Other,50 
Overseas Private Investment Corporation program account,International Assistance Programs                               ,Overseas Private Investment Corporation,50 
Salaries and expenses,Department of the Interior                                      ,Office of Inspector General,50 
Office of the Chief Information Officer                         ,Department of Agriculture                                       ,Office of Chief Information Officer                             ,50 
Buildings and facilities,Department of Agriculture                                       ,Animal and Plant Health Inspection Service,50 
Securities and Exchange Commission Reserve Fund                 ,Securities and Exchange Commission                              ,Securities and Exchange Commission                              ,50 
"Books for the Blind and Physically Handicapped, Salaries and Exp",Legislative Branch                                              ,Library of Congress,50 
"Operations and Support, DNDO                                    ",Department of Homeland Security                                 ,Domestic Nuclear Detection Office                               ,50 
Federal Payment for Defender Services in District of Columbia Co,District of Columbia                                            ,District of Columbia Courts                                     ,50 
Employees and retired employees health benefits funds,Office of Personnel Management                                  ,Office of Personnel Management,51 
Salaries and expenses,Legislative Branch                                              ,United States Tax Court,51 
Cooperative endangered species conservation fund,Department of the Interior                                      ,United States Fish and Wildlife Service,53 
Office of the Secretary,Department of Agriculture                                       ,Office of the Secretary,53 
"Procurement, Construction, and Improvements, NPPD",Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,53 
Self-help and Assisted Homeownership Opportunity Program        ,Department of Housing and Urban Development                     ,Community Planning and Development,54 
Forest Service permanent appropriations,Department of Agriculture                                       ,Forest Service,55 
Housing counseling assistance,Department of Housing and Urban Development                     ,Housing Programs,55 
Salaries and Expenses                                           ,Executive Office of the President                               ,The White House                                                 ,55 
Land acquisition,Department of Agriculture                                       ,Forest Service,56 
Federal Citizen Services Fund                                   ,General Services Administration                                 ,General Activities,56 
Cooperative endangered species conservation fund,Department of the Interior                                      ,United States Fish and Wildlife Service,57 
Hazardous materials safety                                      ,Department of Transportation                                    ,Pipeline and Hazardous Materials Safety Administration          ,57 
"Operations and Support, NPPD                                    ",Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,57 
Holocaust Memorial Museum                                       ,United States Holocaust Memorial Museum                         ,United States Holocaust Memorial Museum                         ,57 
Salaries and expenses,Department of Commerce                                          ,Departmental Management,58 
"Family housing operation and maintenance, Defense-Wide          ",Department of Defense--Military Programs                        ,Family Housing,59 
Policy and administration,Department of the Interior                                      ,Bureau of Reclamation,59 
Health resources and services,Department of Health and Human Services                         ,Health Resources and Services Administration,59 
Office of Inspector General                                     ,Department of Education                                         ,Departmental Management,59 
Operating Expenses                                              ,General Services Administration                                 ,General Activities,59 
Payments to States in Lieu of Coal Fee Receipts                 ,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,59 
Development credit authority program account,International Assistance Programs                               ,Agency for International Development,60 
Electric Reliability Organization                               ,Electric Reliability Organization                               ,Electric Reliability Organization                               ,60 
Land acquisition,Department of the Interior                                      ,United States Fish and Wildlife Service,60 
Promoting Safe and Stable Families                              ,Department of Health and Human Services                         ,Administration for Children and Families,60 
Office of the National Coordinator for Health Information Techno,Department of Health and Human Services                         ,Departmental Management,60 
Government-wide Policy                                          ,General Services Administration                                 ,General Activities,60 
"Family housing construction, Air Force",Department of Defense--Military Programs                        ,Family Housing,61 
Radiation exposure compensation trust fund,Department of Justice                                           ,Radiation Exposure Compensation,62 
State Wildlife Grants                                           ,Department of the Interior                                      ,United States Fish and Wildlife Service,63 
National recreation and preservation,Department of the Interior                                      ,National Park Service,63 
Defense production act purchases,Department of Defense--Military Programs                        ,Procurement,64 
Salaries and expenses,Department of the Treasury                                      ,Financial Management Service,64 
Assistance to territories,Department of the Interior                                      ,Insular Affairs,64 
Payment to radiation exposure compensation trust fund,Department of Justice                                           ,Radiation Exposure Compensation,65 
Pacific coastal salmon recovery,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,65 
Rural Business Program Account                                  ,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,65 
Fair housing activities,Department of Housing and Urban Development                     ,Fair Housing and Equal Opportunity,65 
Office of Inspector General,General Services Administration                                 ,General Activities,65 
Salaries and expenses,Department of the Interior                                      ,Office of the Solicitor,66 
"Distance learning, telemedicine, and broadband program",Department of Agriculture                                       ,Rural Utilities Service,66 
Working Capital Fund                                            ,Department of the Interior                                      ,Department-Wide Programs                                        ,67 
Research and related activities,National Science Foundation                                     ,National Science Foundation,68 
Payments to States and possessions,Department of Agriculture                                       ,Agricultural Marketing Service,68 
Consolidated rail infrastructure and safety improvement grants,Department of Transportation                                    ,Federal Railroad Administration,68 
General expenses                                                ,Legislative Branch                                              ,Capitol Police,68 
MENA Loan Guarantee Program Account                             ,International Assistance Programs                               ,Agency for International Development,69 
Migratory bird conservation account,Department of the Interior                                      ,United States Fish and Wildlife Service,69 
Maritime Oil Spill Programs                                     ,Department of Homeland Security                                 ,United States Coast Guard,69 
Proprietary Receipts,Department of Homeland Security                                 ,Department of Homeland Security,69 
National Technical Institute for the Deaf,Department of Education                                         ,Office of Special Education and Rehabilitative Services,70 
Miscellaneous trust funds,Department of Health and Human Services                         ,Program Support Center,70 
Voluntary separation incentive fund,Department of Defense--Military Programs                        ,Trust Funds,71 
"Operating expenses, Office of Inspector General",International Assistance Programs                               ,Agency for International Development,71 
Salaries and expenses,Other Defense Civil Programs                                    ,Cemeterial Expenses,71 
"Medicare-Eligible retiree health fund contribution, reserve pers",Department of Defense--Military Programs                        ,Military Personnel,72 
John E. Fogarty International Center,Department of Health and Human Services                         ,National Institutes of Health,72 
Treasury forfeiture fund,Department of the Treasury                                      ,Departmental Offices,72 
Fair Housing and Equal Opportunity                              ,Department of Housing and Urban Development                     ,Management and Administration,72 
Mutually Beneficial Activities                                  ,Department of Defense--Military Programs                        ,Operation and Maintenance,75 
Trade and Development Agency,International Assistance Programs                               ,Trade and Development Agency,75 
Miscellaneous trust funds,Department of the Interior                                      ,National Park Service,75 
RMA Salaries and Expenses                                       ,Department of Agriculture                                       ,Risk Management Agency,75 
"Agency for Toxic Substances and Disease Registry, Toxic Substanc",Department of Health and Human Services                         ,Centers for Disease Control and Prevention,75 
Family Self-Sufficiency                                         ,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,75 
Salaries and expenses,Other Defense Civil Programs                                    ,American Battle Monuments Commission,75 
Payment Where Small Business Health Insurance Tax Credit Exceeds,Department of the Treasury                                      ,Internal Revenue Service,76 
"Operation and maintenance, Southwestern Power Administration",Department of Energy                                            ,Power Marketing Administration,77 
"Colorado River dam fund, Boulder Canyon project",Department of the Interior                                      ,Bureau of Reclamation,77 
Operations and administration,Department of Commerce                                          ,Bureau of Industry and Security,77 
Children's research and technical assistance,Department of Health and Human Services                         ,Administration for Children and Families,77 
Salaries and expenses,Judicial Branch                                                 ,Supreme Court of the United States,77 
Coastal wetlands restoration trust fund,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,79 
Rail industry pension fund,Railroad Retirement Board                                       ,Railroad Retirement Board                                       ,79 
Forest Service permanent appropriations,Department of Agriculture                                       ,Forest Service,79 
Salaries and Expenses                                           ,Federal Election Commission                                     ,Federal Election Commission                                     ,79 
Congressional printing and binding,Legislative Branch                                              ,Government Publishing Office                                    ,80 
Historic preservation fund,Department of the Interior                                      ,National Park Service,81 
Offshore Safety and Environmental Enforcement,Department of the Interior                                      ,Bureau of Safety and Environmental Enforcement                  ,82 
Office of Inspector General                                     ,Department of Labor                                             ,Departmental Management,82 
Salaries and Expenses                                           ,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,82 
Office of Inspector General                                     ,Department of Health and Human Services                         ,Office of the Inspector General,82 
Operations Support,Department of the Treasury                                      ,Internal Revenue Service,82 
Agriculture Buildings and Facilities and Rental Payments        ,Department of Agriculture                                       ,Buildings and Facilities                                        ,84 
Marketing services,Department of Agriculture                                       ,Agricultural Marketing Service,85 
Economic Research Service,Department of Agriculture                                       ,Economic Research Service,87 
Capitol power plant,Legislative Branch                                              ,Architect of the Capitol,87 
Salaries and expenses,Judicial Branch                                                 ,Administrative Office of the United States Courts,88 
Senate office buildings,Legislative Branch                                              ,Architect of the Capitol,88 
Research and technology,Department of Housing and Urban Development                     ,Policy Development and Research,89 
State unemployment insurance and employment service operations,Department of Labor                                             ,Employment and Training Administration,89 
Financial Research Fund                                         ,Department of the Treasury                                      ,Departmental Offices,90 
Salaries and expenses,Department of Transportation                                    ,Office of Inspector General,90 
Special benefits for disabled coal miners,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,90 
Grants for Construction of State Extended Care Facilities       ,Department of Veterans Affairs                                  ,Departmental Administration,90 
"Research, Evaluation, and Statistics                            ",Department of Justice                                           ,Office of Justice Programs,90 
Public Safety Officer Benefits                                  ,Department of Justice                                           ,Office of Justice Programs,90 
Salaries and expenses,International Trade Commission                                  ,International Trade Commission                                  ,92 
Leaking Underground Storage Tank Trust Fund                     ,Environmental Protection Agency                                 ,Environmental Protection Agency,92 
Travel Promotion Fund                                           ,Corporation for Travel Promotion                                ,Corporation for Travel Promotion                                ,93 
Leaking Underground Storage Tank Trust Fund                     ,Environmental Protection Agency                                 ,Environmental Protection Agency,93 
Judicial officers' retirement fund,Judicial Branch                                                 ,Judicial Retirement Funds,93 
Capitol Construction and Operations                             ,Legislative Branch                                              ,Architect of the Capitol,93 
"Family housing construction, Navy and Marine Corps",Department of Defense--Military Programs                        ,Family Housing,94 
United Mine Workers of America 1992 Benefit Plan                ,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,95 
Salaries and Expenses                                           ,Executive Office of the President                               ,Office of Management and Budget,95 
Office of Terrorism and Financial Intelligence                  ,Department of the Treasury                                      ,Departmental Offices,95 
Office of Inspector General,Department of Justice                                           ,General Administration,96 
Salaries and expenses                                           ,Department of Justice                                           ,National Security Division                                      ,96 
Office of Inspector General                                     ,Department of Agriculture                                       ,Office of Inspector General                                     ,98 
"Refunds, Transfers, and Expenses of Operation, Puerto Rico      ",Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,98 
Contribution to the Asian Development Bank,International Assistance Programs                               ,Multilateral Assistance,99 
"Miscellaneous trust funds, AID",International Assistance Programs                               ,Agency for International Development,100 
Education and human resources,National Science Foundation                                     ,National Science Foundation,100 
Education,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,100 
Ocean Energy Management                                         ,Department of the Interior                                      ,Bureau of Ocean Energy Management                               ,100 
Buildings and facilities,Department of Agriculture                                       ,Agricultural Research Service,100 
Office of Financial Stability                                   ,Department of the Treasury                                      ,Departmental Offices,100 
Consumer Financial Civil Penalty Fund                           ,Bureau of Consumer Financial Protection                         ,Bureau of Consumer Financial Protection                         ,100 
"Procurement, Construction and Improvements, DNDO                ",Department of Homeland Security                                 ,Domestic Nuclear Detection Office                               ,101 
Salaries and expenses,Executive Office of the President                               ,Office of Administration,101 
Forest Service permanent appropriations,Department of Agriculture                                       ,Forest Service,102 
Business loans program account                                  ,Small Business Administration                                   ,Small Business Administration,102 
"Operations and Support, CIS                                     ",Department of Homeland Security                                 ,Citizenship and Immigration Services,103 
United States trustee system fund,Department of Justice                                           ,Legal Activities and U.S. Marshals,103 
Salaries and Expenses                                           ,Department of Labor                                             ,Office of Federal Contract Compliance Programs                  ,104 
Salaries and Expenses                                           ,National Transportation Safety Board                            ,National Transportation Safety Board                            ,106 
"Capital Magnet Fund, Community Development Financial Institution",Department of the Treasury                                      ,Departmental Offices,106 
Oregon and California grant lands,Department of the Interior                                      ,Bureau of Land Management,107 
Salaries and expenses,Department of Commerce                                          ,Bureau of Economic Analysis                                     ,107 
"Military construction, Army Reserve",Department of Defense--Military Programs                        ,Military Construction,108 
"Congressional Research Service, Salaries and Expenses           ",Legislative Branch                                              ,Library of Congress,108 
